Jul.Day,YYYY/MM/DD,Wdy,IDR/AUD
2456951,10/20/2014,Mon,10539.3
2456952,10/21/2014,Tue,10610.7
2456953,10/22/2014,Wed,10607.6
2456954,10/23/2014,Thu,10598.9
2456955,10/24/2014,Fri,10623.6
2456958,10/27/2014,Mon,10639.8
2456959,10/28/2014,Tue,10750.1
2456960,10/29/2014,Wed,10776.2
2456961,10/30/2014,Thu,10735.9
2456962,10/31/2014,Fri,10655.9
2456965,11/3/2014,Mon,10589.3
2456966,11/4/2014,Tue,10581.9
2456967,11/5/2014,Wed,10396.8
2456968,11/6/2014,Thu,10426.6
2456969,11/7/2014,Fri,10529.1
2456972,11/10/2014,Mon,10520.4
2456974,11/12/2014,Wed,10597.9
2456975,11/13/2014,Thu,10652.7
2456976,11/14/2014,Fri,10724
2456979,11/17/2014,Mon,10596.8
2456980,11/18/2014,Tue,10605.4
2456981,11/19/2014,Wed,10522.6
2456982,11/20/2014,Thu,10471
2456983,11/21/2014,Fri,10480.6
2456986,11/24/2014,Mon,10449.5
2456987,11/25/2014,Tue,10316.1
2456988,11/26/2014,Wed,10421.8
2456989,11/27/2014,Thu,10415
2456990,11/28/2014,Fri,10360.6
2456993,12/1/2014,Mon,10505.5
2456994,12/2/2014,Tue,10364.5
2456995,12/3/2014,Wed,10392.4
2456996,12/4/2014,Thu,10389.2
2456997,12/5/2014,Fri,10230.1
2457000,12/8/2014,Mon,10233.4
2457001,12/9/2014,Tue,10240.9
2457002,12/10/2014,Wed,10252.7
2457003,12/11/2014,Thu,10248.4
2457004,12/12/2014,Fri,10258.1
2457007,12/15/2014,Mon,10405.5
2457008,12/16/2014,Tue,10387
2457009,12/17/2014,Wed,10327.2
2457010,12/18/2014,Thu,10293.5
2457011,12/19/2014,Fri,10164.5
2457014,12/22/2014,Mon,10081.9
2457015,12/23/2014,Tue,10122.6
2457016,12/24/2014,Wed,10133.3
2457021,12/29/2014,Mon,10188.2
2457022,12/30/2014,Tue,10224.7
2457023,12/31/2014,Wed,10084.1
2457025,1/2/2015,Fri,10127.7
2457028,1/5/2015,Mon,10259.1
2457029,1/6/2015,Tue,10303.3
2457030,1/7/2015,Wed,10257
2457031,1/8/2015,Thu,10320.5
2457032,1/9/2015,Fri,10330.9
2457035,1/12/2015,Mon,10252.7
2457036,1/13/2015,Tue,10266.3
2457037,1/14/2015,Wed,10273.7
2457038,1/15/2015,Thu,10312.6
2457039,1/16/2015,Fri,10337.8
2457042,1/19/2015,Mon,10342.1
2457043,1/20/2015,Tue,10291.7
2457044,1/21/2015,Wed,10125.2
2457045,1/22/2015,Thu,10118.2
2457046,1/23/2015,Fri,9940.4
2457049,1/26/2015,Mon,9945.5
2457050,1/27/2015,Tue,9947.5
2457051,1/28/2015,Wed,9926
2457052,1/29/2015,Thu,9710.9
2457053,1/30/2015,Fri,9870
2457056,2/2/2015,Mon,9932.3
2457057,2/3/2015,Tue,9832.6
2457058,2/4/2015,Wed,9837.4
2457059,2/5/2015,Thu,9887.8
2457060,2/6/2015,Fri,9874.8
2457063,2/9/2015,Mon,9922.5
2457064,2/10/2015,Tue,9845.4
2457065,2/11/2015,Wed,9843.4
2457066,2/12/2015,Thu,9971.2
2457067,2/13/2015,Fri,9974.3
2457071,2/17/2015,Tue,9992.8
2457072,2/18/2015,Wed,9985.6
2457073,2/19/2015,Thu,10051.6
2457074,2/20/2015,Fri,9993.9
2457077,2/23/2015,Mon,10020.4
2457078,2/24/2015,Tue,10039.8
2457079,2/25/2015,Wed,10215.7
2457080,2/26/2015,Thu,10063.9
2457081,2/27/2015,Fri,10069.1
2457084,3/2/2015,Mon,10052.6
2457085,3/3/2015,Tue,10168.8
2457086,3/4/2015,Wed,10133.4
2457087,3/5/2015,Thu,10091.7
2457088,3/6/2015,Fri,10028.9
2457091,3/9/2015,Mon,10018.6
2457092,3/10/2015,Tue,10047.9
2457093,3/11/2015,Wed,9975.3
2457094,3/12/2015,Thu,10185.5
2457095,3/13/2015,Fri,10071.1
2457098,3/16/2015,Mon,10178.1
2457099,3/17/2015,Tue,10022.7
2457100,3/18/2015,Wed,10076.3
