Jul.Day,YYYY/MM/DD,Wdy,IDR/EUR
2456951,10/20/2014,Mon,15335
2456952,10/21/2014,Tue,15349
2456953,10/22/2014,Wed,15270
2456954,10/23/2014,Thu,15294
2456955,10/24/2014,Fri,15282
2456958,10/27/2014,Mon,15373
2456959,10/28/2014,Tue,15488
2456960,10/29/2014,Wed,15447
2456961,10/30/2014,Thu,15355
2456962,10/31/2014,Fri,15190
2456965,11/3/2014,Mon,15199
2456966,11/4/2014,Tue,15220
2456967,11/5/2014,Wed,15115
2456968,11/6/2014,Thu,15084
2456969,11/7/2014,Fri,15173
2456972,11/10/2014,Mon,15158
2456974,11/12/2014,Wed,15113
2456975,11/13/2014,Thu,15227
2456976,11/14/2014,Fri,15337
2456979,11/17/2014,Mon,15133
2456980,11/18/2014,Tue,15236
2456981,11/19/2014,Wed,15314
2456982,11/20/2014,Thu,15234
2456983,11/21/2014,Fri,14975
2456986,11/24/2014,Mon,15075
2456987,11/25/2014,Tue,15101
2456988,11/26/2014,Wed,15270
2456989,11/27/2014,Thu,15203
2456990,11/28/2014,Fri,15120
2456993,12/1/2014,Mon,15400
2456994,12/2/2014,Tue,15188
2456995,12/3/2014,Wed,15192
2456996,12/4/2014,Thu,15367
2456997,12/5/2014,Fri,15112
2457000,12/8/2014,Mon,15161
2457001,12/9/2014,Tue,15247
2457002,12/10/2014,Wed,15340
2457003,12/11/2014,Thu,15376
2457004,12/12/2014,Fri,15489
2457007,12/15/2014,Mon,15762
2457008,12/16/2014,Tue,15798
2457009,12/17/2014,Wed,15683
2457010,12/18/2014,Thu,15490
2457011,12/19/2014,Fri,15297
2457014,12/22/2014,Mon,15174
2457015,12/23/2014,Tue,15228
2457016,12/24/2014,Wed,15232
2457021,12/29/2014,Mon,15232
2457022,12/30/2014,Tue,15183
2457023,12/31/2014,Wed,14934
2457025,1/2/2015,Fri,14988
2457028,1/5/2015,Mon,15105
2457029,1/6/2015,Tue,15149
2457030,1/7/2015,Wed,15062
2457031,1/8/2015,Thu,15000
2457032,1/9/2015,Fri,14921
2457035,1/12/2015,Mon,14858
2457036,1/13/2015,Tue,14813
2457037,1/14/2015,Wed,14861
2457038,1/15/2015,Thu,14564
2457039,1/16/2015,Fri,14530
2457042,1/19/2015,Mon,14639
2457043,1/20/2015,Tue,14550
2457044,1/21/2015,Wed,14478
2457045,1/22/2015,Thu,14262
2457046,1/23/2015,Fri,14130
2457049,1/26/2015,Mon,14153
2457050,1/27/2015,Tue,14244
2457051,1/28/2015,Wed,14121
2457052,1/29/2015,Thu,14156
2457053,1/30/2015,Fri,14357
2457056,2/2/2015,Mon,14402
2457057,2/3/2015,Tue,14567
2457058,2/4/2015,Wed,14474
2457059,2/5/2015,Thu,14491
2457060,2/6/2015,Fri,14332
2457063,2/9/2015,Mon,14373
2457064,2/10/2015,Tue,14319
2457065,2/11/2015,Wed,14415
2457066,2/12/2015,Thu,14657
2457067,2/13/2015,Fri,14640
2457071,2/17/2015,Tue,14570
2457072,2/18/2015,Wed,14562
2457073,2/19/2015,Thu,14664
2457074,2/20/2015,Fri,14510
2457077,2/23/2015,Mon,14562
2457078,2/24/2015,Tue,14539
2457079,2/25/2015,Wed,14699
2457080,2/26/2015,Thu,14436
2457081,2/27/2015,Fri,14439
2457084,3/2/2015,Mon,14459
2457085,3/3/2015,Tue,14543
2457086,3/4/2015,Wed,14344
2457087,3/5/2015,Thu,14308
2457088,3/6/2015,Fri,14117
2457091,3/9/2015,Mon,14086
2457092,3/10/2015,Tue,14090
2457093,3/11/2015,Wed,13914
2457094,3/12/2015,Thu,14032
2457095,3/13/2015,Fri,13890
2457098,3/16/2015,Mon,14060
2457099,3/17/2015,Tue,13960
2457100,3/18/2015,Wed,14011
2457101,3/19/2015,Thu,13811
2457102,3/20/2015,Fri,14157
2457105,3/23/2015,Mon,14246
2457106,3/24/2015,Tue,14066
2457107,3/25/2015,Wed,14320
2457108,3/26/2015,Thu,14183
2457109,3/27/2015,Fri,14272
2457112,3/30/2015,Mon,14151
2457113,3/31/2015,Tue,14044
2457114,4/1/2015,Wed,13999
2457115,4/2/2015,Thu,14110
2457119,4/6/2015,Mon,14276
2457120,4/7/2015,Tue,14114
2457121,4/8/2015,Wed,13950
2457122,4/9/2015,Thu,13697
2457123,4/10/2015,Fri,13619
2457126,4/13/2015,Mon,13746
2457127,4/14/2015,Tue,13873
2457128,4/15/2015,Wed,13664
2457129,4/16/2015,Thu,13801
2457130,4/17/2015,Fri,13877
2457133,4/20/2015,Mon,13826
2457134,4/21/2015,Tue,13898
2457135,4/22/2015,Wed,13833
2457136,4/23/2015,Thu,13959
2457137,4/24/2015,Fri,14076
2457140,4/27/2015,Mon,14176
2457141,4/28/2015,Tue,14190
2457142,4/29/2015,Wed,14517
2457143,4/30/2015,Thu,14545
2457144,5/1/2015,Fri,14519
2457147,5/4/2015,Mon,14514
2457148,5/5/2015,Tue,14623
2457149,5/6/2015,Wed,14810
2457150,5/7/2015,Thu,14887
2457151,5/8/2015,Fri,14767
2457154,5/11/2015,Mon,14660
2457155,5/12/2015,Tue,14803
2457156,5/13/2015,Wed,14935
2457157,5/14/2015,Thu,14980
2457158,5/15/2015,Fri,14919
2457162,5/19/2015,Tue,14640
2457163,5/20/2015,Wed,14548
2457164,5/21/2015,Thu,14597
2457165,5/22/2015,Fri,14577
2457168,5/25/2015,Mon,14515
2457169,5/26/2015,Tue,14382
2457170,5/27/2015,Wed,14306
2457171,5/28/2015,Thu,14485
2457172,5/29/2015,Fri,14580
2457175,6/1/2015,Mon,14416
2457176,6/2/2015,Tue,14707
2457177,6/3/2015,Wed,14928
2457178,6/4/2015,Thu,14960
2457179,6/5/2015,Fri,14759
2457182,6/8/2015,Mon,15017
2457183,6/9/2015,Tue,14941
2457184,6/10/2015,Wed,15076
2457185,6/11/2015,Thu,15040
2457186,6/12/2015,Fri,15083
2457189,6/15/2015,Mon,15090
2457190,6/16/2015,Tue,15060
2457191,6/17/2015,Wed,15024
2457192,6/18/2015,Thu,15133
2457193,6/19/2015,Fri,15128
2457196,6/22/2015,Mon,15200
2457197,6/23/2015,Tue,14830
2457198,6/24/2015,Wed,14922
2457199,6/25/2015,Thu,14861
2457200,6/26/2015,Fri,14824
2457203,6/29/2015,Mon,14885
2457204,6/30/2015,Tue,14799
2457206,7/2/2015,Thu,14826
2457207,7/3/2015,Fri,14839
2457210,7/6/2015,Mon,14719
2457211,7/7/2015,Tue,14533
2457212,7/8/2015,Wed,14827
2457213,7/9/2015,Thu,14770
2457214,7/10/2015,Fri,14768
2457217,7/13/2015,Mon,14649
2457218,7/14/2015,Tue,14627
2457219,7/15/2015,Wed,14623
2457220,7/16/2015,Thu,14536
2457221,7/17/2015,Fri,14536
2457224,7/20/2015,Mon,14521
2457225,7/21/2015,Tue,14600
2457226,7/22/2015,Wed,14615
2457227,7/23/2015,Thu,14742
2457228,7/24/2015,Fri,14777
2457231,7/27/2015,Mon,14903
2457232,7/28/2015,Tue,14894
2457233,7/29/2015,Wed,14805
2457234,7/30/2015,Thu,14657
2457235,7/31/2015,Fri,14988
2457239,8/4/2015,Tue,14821
2457240,8/5/2015,Wed,14619
2457241,8/6/2015,Thu,14807
2457242,8/7/2015,Fri,14821
2457245,8/10/2015,Mon,14952
2457246,8/11/2015,Tue,14965
2457247,8/12/2015,Wed,15453
2457248,8/13/2015,Thu,15342
2457249,8/14/2015,Fri,15293
2457252,8/17/2015,Mon,15262
2457253,8/18/2015,Tue,15173
2457254,8/19/2015,Wed,15327
2457255,8/20/2015,Thu,15583
2457256,8/21/2015,Fri,15885
2457259,8/24/2015,Mon,16274
2457260,8/25/2015,Tue,15969
2457261,8/26/2015,Wed,16117
2457262,8/27/2015,Thu,15774
2457263,8/28/2015,Fri,15603
2457266,8/31/2015,Mon,15746
2457267,9/1/2015,Tue,15961
2457268,9/2/2015,Wed,15917
2457269,9/3/2015,Thu,15757
2457270,9/4/2015,Fri,15697
2457274,9/8/2015,Tue,16036
2457275,9/9/2015,Wed,15874
2457276,9/10/2015,Thu,16183
2457277,9/11/2015,Fri,16183
2457280,9/14/2015,Mon,16308
2457281,9/15/2015,Tue,16232
2457282,9/16/2015,Wed,16368
2457283,9/17/2015,Thu,16390
2457284,9/18/2015,Fri,16409
2457287,9/21/2015,Mon,16136
2457288,9/22/2015,Tue,16065
2457289,9/23/2015,Wed,16330
2457290,9/24/2015,Thu,16509
2457291,9/25/2015,Fri,16386
2457294,9/28/2015,Mon,16494
2457295,9/29/2015,Tue,16574
2457296,9/30/2015,Wed,16430
2457297,10/1/2015,Thu,16479
2457298,10/2/2015,Fri,16554
2457301,10/5/2015,Mon,16281
2457302,10/6/2015,Tue,15987
2457303,10/7/2015,Wed,15598
2457304,10/8/2015,Thu,15627
2457305,10/9/2015,Fri,15324
2457309,10/13/2015,Tue,15557
2457310,10/14/2015,Wed,15627
2457311,10/15/2015,Thu,15346
2457312,10/16/2015,Fri,15303
2457315,10/19/2015,Mon,15323
2457316,10/20/2015,Tue,15513
2457317,10/21/2015,Wed,15499
2457318,10/22/2015,Thu,15189
2457319,10/23/2015,Fri,14961
2457322,10/26/2015,Mon,15118
2457323,10/27/2015,Tue,15086
2457324,10/28/2015,Wed,14843
2457325,10/29/2015,Thu,14880
2457326,10/30/2015,Fri,15048
2457329,11/2/2015,Mon,15038
2457330,11/3/2015,Tue,14789
2457331,11/4/2015,Wed,14737
2457332,11/5/2015,Thu,14754
2457333,11/6/2015,Fri,14591
2457336,11/9/2015,Mon,14735
2457337,11/10/2015,Tue,14606
2457339,11/12/2015,Thu,14620
2457340,11/13/2015,Fri,14585
2457343,11/16/2015,Mon,14739
2457344,11/17/2015,Tue,14607
2457345,11/18/2015,Wed,14644
2457346,11/19/2015,Thu,14851
2457347,11/20/2015,Fri,14507
2457350,11/23/2015,Mon,14598
2457351,11/24/2015,Tue,14614
2457352,11/25/2015,Wed,14557
2457353,11/26/2015,Thu,14543
2457354,11/27/2015,Fri,14593
2457357,11/30/2015,Mon,14668
2457358,12/1/2015,Tue,14637
2457359,12/2/2015,Wed,14563
2457360,12/3/2015,Thu,15052
2457361,12/4/2015,Fri,14996
2457364,12/7/2015,Mon,14942
2457365,12/8/2015,Tue,15084
2457366,12/9/2015,Wed,15236
2457367,12/10/2015,Thu,15191
2457368,12/11/2015,Fri,15375
2457371,12/14/2015,Mon,15448
2457372,12/15/2015,Tue,15282
